선정 순번,원본 단어 번호,단어,범주,선정 기준,비고
202,1181,혀,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
203,1374,이마,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
204,1375,볼,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
205,1262,턱,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
206,1376,목,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
207,1226,손,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
208,1147,팔,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
209,1599,다리,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
210,1253,몸,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
211,1210,얼굴,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
212,1249,머리,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
213,1241,머리카락,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
214,1371,눈썹,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
215,1373,치아,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
216,288,체온,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
217,2039,몸무게,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
218,1115,건강,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
219,37,감기,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
220,1533,병,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
221,1576,환자,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
222,29,검사,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
223,64,치료,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
224,57,회복,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
225,60,입원,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
226,67,퇴원,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
227,689,통증,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
228,1519,상처,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
229,71,화상,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
230,387,골절,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
231,46,설사,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
232,39,변비,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
233,970,불면,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
234,44,붕대,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
235,2131,물약,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
236,2108,가루약,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
237,132,치약,건강·신체,병원·건강·신체 상태를 즉시 전달할 때 필요한 단어,손 사용 수와 무관하게 선정
238,1534,밥,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
239,115,커피,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
240,815,우유,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
241,7,음료수,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
242,99,사과,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
243,88,딸기,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
244,90,라면,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
245,87,두부,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
246,86,돼지고기,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
247,98,비빔밥,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
248,100,사이다,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
249,116,콜라,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
250,109,술,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
251,165,자가용,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
252,149,구급차,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
253,148,마을버스,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
254,1593,기차,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
255,154,여객선,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
256,846,차도,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
257,1342,왼쪽,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
258,1343,오른쪽,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
259,2100,위,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
260,2577,아래,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
261,1578,밖,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
262,948,가깝다,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
263,949,멀다,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
264,339,아까,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
265,320,방금,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
266,334,예전,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
267,309,어젯밤,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
268,336,월요일,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
269,347,화요일,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
270,329,수요일,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
271,316,금요일,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
272,257,일요일,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
273,344,평일,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
274,312,공휴일,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
275,338,자정,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
276,814,월초,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
277,932,매일매일,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
278,2631,영,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
279,2632,일,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
280,2633,이,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
281,2634,삼,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
282,2635,사,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
283,2636,오,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
284,2637,육,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
285,2638,칠,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
286,2640,구,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
287,2641,십,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
288,1322,빨강,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
289,1323,노랑,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
290,1324,초록,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
291,1325,파랑,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
292,1321,검정,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
293,1121,흰,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
294,290,하늘,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
295,2538,달,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
296,2551,별,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
297,2552,비,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
298,2549,바람,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
299,2546,바다,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
300,2563,온도,음식·이동·시간·수량·환경,"식사, 이동, 방향, 요일, 숫자, 날씨 등 생활 정보 전달에 필요한 단어",손 사용 수와 무관하게 선정
